W2,W1,L1,L2,StudyDay,Note,IPA
øve,practice,I try to practice guitar scales every day.,Jeg forsøger at øve guitar skalaer hver dag.,1,Common verb in musical context; 'øve sig på' is often used.,['ˈøːvə']
pension,retirement,He took early retirement last year to travel.,Han gik tidligt på pension sidste år for at rejse.,1,Noun; 'gå på pension' = retire.,['pɛnˈsiːɔn']
forbedre,improve,I want to improve my skills in spontaneous jamming.,Jeg ønsker at forbedre mine evner i spontan jamming.,1,"Verb; used with objects, e.g., 'forbedre sine færdigheder'.",['fɒˈbɛðʁə']
bøf,steak,"My favorite meal is a thick, well-seasoned ribeye steak","Mit yndlingsmåltid er en tyk, velkrydret ribeye bøf",1,Noun; commonly used in food contexts.,['bœf']
dagligvare,grocery,We need to buy basic groceries for the week.,Vi er nødt til at købe basale dagligvarer til ugen.,1,Noun; plural 'dagligvarer' refers to everyday groceries.,['ˈdɑːliˌɡʋɑːʁə']
,,,,,,
tryghed,security,"After retiring, financial security is very important.",Efter at have trukket mig tilbage er økonomisk tryghed meget vigtig.,1,Abstract noun; 'tryghed' = feeling of safety or security.,['ˈtʁyːɡˌheð']
akkord,chord,The guitarist played a complex diminished chord.,Guitaristen spillede en kompleks formindsket akkord.,1,"Noun; musical term, can be pluralized as 'akkorder'.",['ˈakɔːɐ̯d']
mangle,lack,I realize I am missing one of my essential kitchen tools.,"Jeg er klar over, at jeg mangler et af mine essentielle køkkenredskaber.",1,"Verb; used with objects, 'mangle noget'.",['ˈmæŋlə']
tilpasning,adaptation,Successful improvisation relies on quick adaptation.,Succesfuld improvisation afhænger af hurtig tilpasning.,1,Noun; 'tilpasning' = adjustment or adaptation.,['ˈtelˌpɑsˀn̩']
indkøb,shopping,I will handle the shopping for the household today.,Jeg tager mig af indkøbene til husholdningen i dag.,1,Noun; 'indkøb' = shopping trips or items.,['ˈenˀˌkøb']
,,,,,,
mæt,full,The high-fat diet keeps me feeling full for hours.,Den fedtrige kost holder mig mæt i timevis.,1,Adjective; 'mæt' = satisfied/full after eating.,['ˈmɛːd']
guitarkasse,guitar case,I store my vintage instrument safely in its guitar case.,Jeg opbevarer mit vintage instrument sikkert i guitarkassen.,2,Noun; compound word: 'guitar' + 'kasse'.,['ˈɡitɑːɐ̯ˌkɑsə']
spare,save,We decided to save money for a big summer vacation.,Vi besluttede at spare penge op til en stor sommerferie.,2,Verb; 'spare op' = save money over time.,['ˈspɑːɐ̯ə']
ærlig,honest,I need you to be honest with me about the results.,"Jeg har brug for, at du er ærlig over for mig omkring resultaterne.",2,Adjective; common in everyday speech.,['ˈɛːlˀi']
stemning,mood,"The blues music created a powerful, soulful mood.","Bluesmusikken skabte en stærk, sjælfuld stemning.",2,Noun; 'stemning' = atmosphere or mood.,['ˈstɛmˀn̩']
,,,,,,
træning,training,I focus on weight training several times a week.,Jeg fokuserer på vægttræning flere gange om ugen.,2,Noun; often used in sports and exercise context.,['ˈtʁɛːnɪŋ']
vente,wait,"We will have to wait for the bus, it's running late.","Vi bliver nødt til at vente på bussen, den er forsinket.",2,Verb; 'vente på' = wait for something.,['ˈvɛnə']
tilfældighed,chance,Musical inspiration often happens by chance or accident.,Musisk inspiration sker ofte ved tilfældighed eller uheld.,3,"Noun; abstract, idiomatic use in creativity.",['ˈtilˌfɛlˀˌdiːð']
udfordring,challenge,The new lifestyle is proving to be a nutritional challenge.,Den nye livsstil viser sig at være en ernæringsmæssig udfordring.,3,Noun; 'udfordring' = challenge/problem.,['ˈuðˌfoɐ̯dʁiŋ']
aftale,agreement,We made an agreement to meet next Tuesday at noon.,Vi lavede en aftale om at mødes næste tirsdag middag.,3,Noun; commonly used for appointments or deals.,['ˈɑːftɑːlə']
,,,,,,
ønske,wish,I wish I could play the guitar just like that master.,"Jeg ønsker, at jeg kunne spille guitar ligesom den mester.",3,Verb; 'ønske at' = wish to do something.,['ˈønskə']
rolig,calm,"After years of working, retirement should be a calm phase.",Efter mange års arbejde burde pensionisttilværelsen være en rolig fase.,3,Adjective; common expression in life context.,['ˈʁoːli']
frasering,phrasing,Good improvisation is all about melodic phrasing.,God improvisation handler om melodisk frasering.,3,"Noun; musical term, indicates note grouping.",['fʁɑˈseːʁɪŋ']
smør,butter,I add a tablespoon of butter to my coffee every morning.,Jeg tilføjer en spiseskefuld smør til min kaffe hver morgen.,3,Noun; everyday food item.,['smɶːɐ̯']
arbejdsplads,workplace,"I miss my old workplace, but not the stress.","Jeg savner min gamle arbejdsplads, men ikke stresset.",3,Noun; compound word: 'arbejde' + 'plads'.,['ˈɑːbˌdʁsˌplɑːs']
,,,,,,
spørge,ask,"If you are unsure, you must ask the receptionist.","Hvis du er usikker, skal du spørge receptionisten.",3,Verb; 'spørge om' = ask about something.,['ˈspɶːɐ̯ə']
teknik,technique,Mastering the slide guitar technique takes many hours.,At mestre slide guitar teknikken tager mange timer.,3,Noun; common musical term.,['tɛkˈniːk']
resultat,result,The test results showed a positive change in blood work.,Testresultaterne viste en positiv ændring i blodprøverne.,3,Noun; commonly used in academic and medical contexts.,['ʁɛsʊlˈtaːt']
plads,space,Is there enough space left in the car for this box?,Er der plads nok tilbage i bilen til denne kasse?,3,Noun; general word for room/space.,['plɑːs']
glemme,forget,Please don't forget your guitar picks before you leave.,"Glem venligst ikke dine guitarplektre, før du tager af sted.",3,Verb; 'glemme at' = forget to do something.,['ˈɡlɛmˀə']
